name,body_part,exercise_category,base_calories_burned,description,media_url
데드리프트,등,전신강화운동,8,전신 근력을 강화하는 대표적인 운동,
바벨 로우,등,상체근력운동,6.5,바벨을 이용해 등 근육을 강화,
풀 업,등,상체근력운동,7,철봉에서 상체와 등을 강화,
루마니안 데드리프트,등,전신강화운동,7.5,허리와 하체를 타겟으로 하는 데드리프트,
랫 풀다운,등,상체근력운동,5.5,랫 머신으로 등을 단련,
백 익스텐션,등,코어강화운동,4,허리와 코어 근육 강화,
원 암 덤벨 로우,등,상체근력운동,6.2,한 손으로 덤벨을 이용한 등 운동,
시티드 케이블 로우,등,상체근력운동,6,케이블 머신으로 등 근육 강화,
시티드 로우 머신,등,상체근력운동,5.8,머신을 이용한 등 근육 운동,
덤벨 데드리프트,등,전신강화운동,7.2,덤벨을 활용한 전신 운동,
밴드 벤트 오버 로우,등,상체근력운동,5,밴드를 활용한 등 강화 운동,
레니게이드 로우,등,전신강화운동,6.8,전신과 코어를 동시에 강화,
인클라인 로우,등,상체근력운동,6,인클라인 상태에서 등 근육 강화,
인버티드 로우,등,상체근력운동,5.5,체중을 이용한 등 강화 운동,
티 바 로우 머신,등,상체근력운동,6.4,티 바 머신으로 등 강화,
티 바 로우,등,상체근력운동,6.3,티 바를 활용한 등 운동,
백 랫 풀다운,등,상체근력운동,5.7,랫 머신으로 상체 후면 강화,
로우 로우 머신,등,상체근력운동,5.9,로우 머신으로 등 근육 강화,
스미스 머신 바벨 로우,등,상체근력운동,6.2,스미스 머신으로 바벨 로우 수행,
암 풀다운,등,상체근력운동,5.5,팔과 등을 강화하는 풀다운 운동,
밴드 로우,등,상체근력운동,5,밴드를 사용한 등 운동,
덤벨 로우,등,상체근력운동,6,덤벨로 등을 단련,
펜들레이 로우,등,상체근력운동,6.8,고중량으로 수행하는 등 운동,
원 암 랫 풀다운,등,상체근력운동,5.6,한 손으로 랫 머신을 이용한 운동,
랙 풀,등,전신강화운동,7,데드리프트의 변형으로 전신 운동,
백 익스텐션 머신,등,코어강화운동,4.2,허리를 강화하는 머신 운동,
굿모닝,등,코어강화운동,4.5,허리와 하체를 강화하는 운동,
밴드 데드리프트,등,전신강화운동,6.8,밴드를 활용한 전신 데드리프트,
하이 로우 머신,등,상체근력운동,5.9,하이 로우 머신으로 등 운동,
와이드 풀다운 머신,등,상체근력운동,5.5,등과 어깨를 강화,
케틀벨 로우,등,상체근력운동,6,케틀벨을 사용한 등 운동,
짐볼 백 익스텐션,등,코어강화운동,3.8,짐볼을 이용한 허리 운동,
원 암 케이블 랫 풀다운,등,상체근력운동,5.7,한 손으로 케이블 랫 풀다운 수행,
원 암 랫 풀다운 머신,등,상체근력운동,5.8,한 손으로 랫 머신 사용,
원 암 시티드 로우 머신,등,상체근력운동,6,한 손으로 시티드 로우 머신 수행,
랫 풀다운 머신,등,상체근력운동,5.6,랫 머신으로 등 운동,
라잉 백 익스텐션,등,코어강화운동,4,누운 자세로 허리 운동,
슈퍼맨 로우,등,코어강화운동,4.3,슈퍼맨 자세로 허리 강화,
시티드 로우,등,상체근력운동,6,앉은 자세로 로우 머신 사용,
클로즈 그립 티 바 로우,등,상체근력운동,6.4,좁은 그립으로 티 바 로우 수행,
트위스트 슈퍼맨,등,코어강화운동,4.5,슈퍼맨 자세에서 트위스트 추가,
백 펙 스트레칭,등,유연성및스트레칭운동,3,등 근육을 스트레칭,
엎드려 등 스트레칭,등,유연성및스트레칭운동,3.2,엎드려 등 스트레칭 수행,
동적 등 스트레칭,등,유연성및스트레칭운동,3.5,동작을 이용한 등 스트레칭,
사이드 등 스트레칭,등,유연성및스트레칭운동,3.1,옆으로 등 근육을 스트레칭,
스탠딩 등 스트레칭,등,유연성및스트레칭운동,3.3,선 자세에서 등 근육 스트레칭,
오버헤드 등 스트레칭,등,유연성및스트레칭운동,3.4,팔을 들어 올리며 스트레칭,
케틀벨 데드리프트,등,전신강화운동,7.5,케틀벨을 사용하여 전신을 단련,
언더핸드 바벨 로우,등,상체근력운동,6.4,언더핸드 그립으로 바벨 로우 수행,
언더핸드 스미스 머신 바벨 로우,등,상체근력운동,6.3,스미스 머신에서 언더핸드 그립으로 로우 수행,
원 암 시티드 케이블 로우,등,상체근력운동,5.9,한 손으로 시티드 케이블 로우 수행,
패러럴 그립 시티드 케이블 로우,등,상체근력운동,6,패러럴 그립으로 시티드 케이블 로우 수행,
와이드 그립 시티드 케이블 로우,등,상체근력운동,6.1,와이드 그립으로 시티드 케이블 로우,
원 암 케틀벨 로우,등,상체근력운동,5.8,한 손으로 케틀벨을 사용하여 등 근육 단련,
스탠딩 케이블 로우,등,상체근력운동,5.6,서서 케이블 로우를 수행하여 상체를 강화,
링 하이 로우,등,상체근력운동,6.2,링을 사용하여 고강도의 로우 운동,
어시스트 풀 업,등,상체근력운동,5.5,보조 장치를 사용하여 풀 업 수행,
패러럴 그립 어시스트 풀 업,등,상체근력운동,5.6,패러럴 그립으로 어시스트 풀 업 수행,
중량 풀 업,등,상체근력운동,6.5,중량을 추가하여 풀 업 수행,
아처 풀 업,등,상체근력운동,6.7,한 팔로 지원하며 풀 업 수행,
밴드 어시스트 풀 업,등,상체근력운동,5.3,밴드의 도움으로 풀 업 수행,
벤치 풀 업,등,상체근력운동,5,벤치를 활용한 풀 업,
버터플라이 풀 업,등,상체근력운동,6.8,팔을 날개처럼 움직이며 풀 업 수행,
점프 풀 업,등,상체근력운동,5.8,점프를 추가하여 풀 업 수행,
어시스트 친 업,등,상체근력운동,5.6,보조 장치를 이용한 친 업,
중량 친 업,등,상체근력운동,6.5,중량을 추가하여 친 업 수행,
밴드 어시스트 친 업,등,상체근력운동,5.4,밴드의 도움으로 친 업 수행,
패러럴 그립 친 업,등,상체근력운동,5.6,패러럴 그립으로 친 업 수행,
클로즈 그립 친 업,등,상체근력운동,5.7,좁은 그립으로 친 업 수행,
클로즈 그립 케이블 랫 풀 다운,등,상체근력운동,5.5,좁은 그립으로 케이블 랫 풀 다운 수행,
패러럴 그립 랫 풀 다운,등,상체근력운동,5.6,패러럴 그립으로 랫 풀 다운 수행,
언더핸드 케이블 랫 풀 다운,등,상체근력운동,5.7,언더핸드 그립으로 케이블 랫 풀 다운,
로프 암 풀 다운,등,상체근력운동,5.4,로프를 사용한 팔과 등 강화 운동,
T 레이즈,등,유연성및스트레칭운동,3,T 자세로 등 근육 스트레칭,
A 레이즈,등,유연성및스트레칭운동,3.1,A 자세로 근육 스트레칭,
W 레이즈,등,유연성및스트레칭운동,3.2,W 자세로 등 근육 스트레칭,
바를 이용한 등 스트레칭,등,유연성및스트레칭운동,3.4,바를 사용하여 등 근육 스트레칭,
폼롤러 랫,등,유연성및스트레칭운동,3.5,폼롤러로 랫 근육 스트레칭,
폼롤러 어퍼 백,등,유연성및스트레칭운동,3.6,폼롤러로 상부 등 스트레칭,
폼롤러 롬보이드,등,유연성및스트레칭운동,3.7,폼롤러로 롬보이드 근육 스트레칭,
추천 등 운동,등,상체근력운동,5.5,추천하는 등 근력 운동,
링 풀업,등,상체근력운동,6.4,링을 사용하여 수행하는 풀업,
어깨/등 스트레칭,등,유연성및스트레칭운동,3.3,어깨와 등 근육을 스트레칭,
철봉 매달리기,등,유연성및스트레칭운동,3.2,철봉에서 매달리며 등 스트레칭 수행,
해머스트렝스 시티드 로우,등,상체근력운동,6.3,해머스트렝스 머신으로 로우 수행,
클로즈 그립 풀 업,등,상체근력운동,5.8,좁은 그립으로 풀 업 수행,
와이드 그립 풀 업,등,상체근력운동,6,와이드 그립으로 풀 업 수행,
케이블 하이 로우,등,상체근력운동,5.7,케이블로 하이 로우 수행,
원 암 케이블 하이 로우,등,상체근력운동,5.8,한 손으로 케이블 하이 로우 수행,
엘싯 풀업,등,상체근력운동,6.2,L-자세로 수행하는 풀업,
원 암 풀업,등,상체근력운동,6.8,한 손으로 수행하는 풀업,
원 암 와이드 풀다운 머신,등,상체근력운동,5.9,와이드 풀다운 머신으로 한 손 수행,
클로즈 그립 랫 풀 다운,등,상체근력운동,5.8,좁은 그립으로 랫 풀 다운,
해머 스트렝스 MTS 로우,등,상체근력운동,6.4,해머 스트렝스 머신을 사용한 로우 운동,
해머 스트렝스 MTS 하이 로우,등,상체근력운동,6.5,해머 스트렝스 하이 로우 운동,
해머 스트렝스 MTS 프론트 풀다운,등,상체근력운동,6.3,프론트 풀다운을 위한 해머 스트렝스 머신 운동,
해머 스트렝스 MTS D Y 로우,등,상체근력운동,6.6,D Y 로우를 위한 머신 운동,
해머 스트렝스 프론트 랫 풀다운,등,상체근력운동,6.2,프론트 랫 풀다운 머신 운동,
